﻿"№ ГОЛОСА";"ИЗБИР. ОКРУГ";"АДРЕС ГОЛОСА В БЛОКЧЕЙНЕ";"БЛОК ГОЛОСА";"ВРЕМЯ ЗАПИСИ БЛОКА ГОЛОСА";"ЗАШИФРОВАННЫЙ ГОЛОС"
"106";77;"0xb1da6d82d9165836497ece770ae4f7f142ea2005066bc909c89a443bce82f445";"#16501";"07:06:59";"{""message"":""af9bcdf6876fff8e39328a7e7077a80639ddce37"",""nonce"":""fe5fe6f65bedc44ceb39f39f828ae4fb130dccbac389876b"",""public_key"":""fd235c8caf68cea01d17e84a8c4b46b8be4b769efd809970f2dcf95bdec73b23""}"
"107";77;"0xeb6eacfa23633df78a7963a1f97ee52c8990364671367a6bd2d6c24c77cd1c9b";"#16501";"07:06:59";"{""message"":""3e03a937f374c47d18afe6e84ae28ef1ecdd9c1c"",""nonce"":""1d1e4eb7b0d24d623bc76d650064efe5f4088a4d90049372"",""public_key"":""69034eaee61423239b5a8ef81bf97bc9e3c65ff39589ad9da7d783c900237207""}"
"108";77;"0xf854695d987c8544555305fa7191b51b07366769f9d726bba88de972c248db4a";"#16501";"07:06:59";"{""message"":""235cee1f251a318fc1bcba397061bdb22493c1a5"",""nonce"":""926a52e038327dac89675a290e36c2abbc6ca85b6906b19d"",""public_key"":""df4e80acee2b85f0200f34966247244a7d7618f92fc4757d1ddf6e34b55ac87a""}"
"109";77;"0x01f6ba92269c5fea1293bbc88f44f73fbfb21eda3d3a8eb8fc1d3271de27f5fb";"#16501";"07:06:59";"{""message"":""74d0bdb20e10954e876e4758711c7db84f0581b0"",""nonce"":""56f1c5008b6ce8c364f382045b8188f72695fb8dda5feb4c"",""public_key"":""e69b301d0766ed6159d8efe1e09e6d5b8313854eae1ae7d1702c5aed52528a2a""}"
"110";77;"0x774ceebae319034da6847abab8e43e100489d5235e92f6fbd3c6f814996a466d";"#16501";"07:06:59";"{""message"":""598e82b557d7460730ac0372a50fc0714b4838a8"",""nonce"":""cbc969bb14f2a689057b33b8daab14eeca5dba57c3086b9f"",""public_key"":""0ea85aef8c42ebbe0b43b3bcb04f802a541ef61519b27618bdb4ea1db605a378""}"
"112";77;"0xb38d53147e7f593bd33424fa80629864ab3d8e6f972f8fbac32b02d4e59413d5";"#16501";"07:06:59";"{""message"":""5d613675ef04ccae618ce4144529fa26d8d64d31"",""nonce"":""50159b3012cf84f08bb25eea1da4a30f861e9c1a8a3d2a92"",""public_key"":""05aa774091143cd216dea592e8ad75ffcb91faf6ede750bb97b2cf6452626615""}"
"111";77;"0xbb20a7f33ece0721e8d15c565cc3731b19acdb01f28d92a8ed8528de37056eba";"#16501";"07:06:59";"{""message"":""b160b8e238ecedb5f4e0892e5f6a81fc7cf44ad8"",""nonce"":""447957b9c650b0b9fe93feac047f278878a906d539a9f270"",""public_key"":""8ea207d4945db15ec6c6d4b4e925c8557a02c3131bb56a0c1a8b5bff08f3af46""}"
"113";77;"0x1d7ab6d5620d5ddf6f3ebaeb741693329e4130ed18c797040d12676dc7ed5fda";"#17091";"07:09:01";"{""message"":""10d53587cc9aef7b02c2eaf78b0bec6ec95c0373"",""nonce"":""11da49f0cbe135a09015654d0e45462d6d9ab91937db901f"",""public_key"":""d90eb9eba961cb04250ec225205a3c9801fc773de51bfb72891566908c4e305e""}"
"114";77;"0x28403f315cd4ed546682ca52b32392784fd2a64571269a1c39b9494da458683d";"#17091";"07:09:01";"{""message"":""fbe9297ec77196474f9803a9b436358f9f2023b1"",""nonce"":""7a804554b76455004cdc32b91a4305c0a730833236983ed4"",""public_key"":""fecdbfa0827b52defc772fbde76fdd643bfa669ad31f42aafe9d5cbaad9ba102""}"
"115";77;"0xa4ebb2f875ec4df9ea14e6d0c074d0ac2a351d2c66ea9d908b36bebee20ed215";"#17091";"07:09:01";"{""message"":""a316d613cd931fc81231b6c6cd4bec5766c023ae"",""nonce"":""53bfdf81ef256f690111c95d250dcc6909ea65c3d8572dc2"",""public_key"":""44a5ae07810b7c8d40826d395d49a94e379be00066b0aec8f9cf317f4a814a25""}"
